,0
0,ATO UN Equity
1,GWW UN Equity
2,SWKS UW Equity
3,DGX UN Equity
4,EW UN Equity
5,ATVI UW Equity
6,HUM UN Equity
7,ROK UN Equity
8,ITW UN Equity
9,TT UN Equity
10,IPG UN Equity
11,WM UN Equity
12,J UN Equity
13,BR UN Equity
14,GPC UN Equity
15,GD UN Equity
16,KLAC UW Equity
17,PCAR UW Equity
18,AEE UN Equity
19,ECL UN Equity
20,EMR UN Equity
21,ODFL UW Equity
22,AON UN Equity
23,DVA UN Equity
24,CBRE UN Equity
25,MNST UW Equity
26,EL UN Equity
27,BRO UN Equity
28,AAPL UW Equity
29,AMGN UW Equity
30,MA UN Equity
31,KMB UN Equity
32,PM UN Equity
33,NDAQ UW Equity
34,SO UN Equity
35,BKNG UW Equity
36,MCO UN Equity
37,OMC UN Equity
38,OKE UN Equity
39,PWR UN Equity
40,PH UN Equity
41,ROL UN Equity
42,PPL UN Equity
43,AME UN Equity
44,NOC UN Equity
45,RSG UN Equity
46,ISRG UW Equity
47,PPG UN Equity
48,CTSH UW Equity
49,HSIC UW Equity
50,RHI UN Equity
51,WST UN Equity
52,FFIV UW Equity
53,ES UN Equity
54,UNH UN Equity
55,CHRW UW Equity
56,LLY UN Equity
57,APH UN Equity
58,ANTM UN Equity
59,IEX UN Equity
60,MMC UN Equity
61,SPGI UN Equity
62,AKAM UW Equity
63,CVS UN Equity
64,SYY UN Equity
65,GOOGL UW Equity
66,TDG UN Equity
67,YUM UN Equity
68,MKTX UW Equity
69,DOV UN Equity
70,ANSS UW Equity
71,ORLY UW Equity
72,BWA UN Equity
73,BIIB UW Equity
74,INTC UW Equity
75,CI UN Equity
76,HAS UW Equity
77,UPS UN Equity
78,MHK UN Equity
79,FISV UW Equity
80,PG UN Equity
81,CNC UN Equity
82,APD UN Equity
83,AWK UN Equity
84,EQIX UW Equity
85,AOS UN Equity
86,CAT UN Equity
87,LKQ UW Equity
88,KO UN Equity
89,FLT UN Equity
90,IDXX UW Equity
91,ROP UN Equity
92,MPWR UW Equity
93,MCD UN Equity
94,MRK UN Equity
95,MMM UN Equity
96,STE UN Equity
97,FAST UW Equity
98,NVR UN Equity
99,ALB UN Equity
100,IPGP UW Equity
101,MTD UN Equity
102,RMD UN Equity
103,TSCO UW Equity
104,CLX UN Equity
105,CMS UN Equity
106,WAB UN Equity
107,POOL UW Equity
108,DHR UN Equity
109,CMI UN Equity
110,EXPD UW Equity
111,ADM UN Equity
112,ADP UW Equity
113,VRSK UW Equity
114,CL UN Equity
115,LMT UN Equity
116,V UN Equity
117,ED UN Equity
118,MSCI UN Equity
119,WAT UN Equity
